Category,Feature,Status,Comments,Reference
"Developer experience","Layout quality audit & iteration","Partial","Round 125 carried the audit out: one sub-round per layout plus packing and the page, each with its fixtures, baselines, pictures and fixes on the record (label measurement before the first frame, forces tidy shapes under separation, flows per-side extents and free-singleton placement, breadthfirsts pixel sizing, the stacking shelf, presets half positions, randoms seed, condense on circle and radial). The first sitting pass signed off preset and random and shipped radial's true-root default; the rest is deferred to page sittings that wait on the page exposing each layout's options (125.11). Stays Partial until those sittings are recorded.","plan/rounds/2026-09-15-01-rnd0125-plan-the-layout-quality-audit-one-sub-round-per-layout-each-signed-off-by-the-maintainer.md"
"Developer experience","Choose a layout by task","Proposed","Provide a short task-to-layout guide and examples for similarity networks, hierarchies, score rings and saved positions, with cost and quality tradeoffs; avoid a new opaque auto-layout API initially.","docs/feature-direction.md"
"Developer experience","Measure consumer simplification","Proposed","Port representative app tasks and compare setup steps, dependencies, custom glue, error diagnosis and migration effort against v3; fewer API names alone do not prove easier development.","docs/feature-direction.md"
"Developer experience","Typed application data","Undecided","Element-data generics are an open idea: carry app field types through queries and mappers, while preserving a practical dynamic-data escape hatch.","PLAN.md"
"Developer experience","Migration automation","Undecided","A v3-to-v4 codemod is an open idea; automate safe rewrites and flag semantic changes rather than silently translating incompatible selectors or style functions.","PLAN.md"
"Developer experience","Framework lifecycle integration","Undecided","React-first bindings are an open idea; focus on mount/unmount, controlled updates and batching before proliferating framework wrappers.","PLAN.md"
"Developer experience","Id-stable incremental app updates","Planned","Reconcile fresh payloads by ID while preserving unchanged state; intended to reduce hand-written add/remove/update diffs.","plan/rounds/2026-08-20-08-rnd0107-plan-patch-id-keyed-reconcile-of-a-fresh-payload.md"
"Developer experience","Linked-view state contract","Proposed","Define how selection and viewport synchronization compose with planned viewer cloning; test independent view styles and prevent feedback loops without requiring shared mutable renderer state.","docs/feature-direction.md"
"Cytoscape Web v2","Pie, stripe and donut node summaries","Implemented","Existing chart family includes a hole for donut rendering and 16 slices; new chart work should not count donut as an absent capability.","src/style.mts"
"Cytoscape Web v2","Heat-strip node charts","Planned","Scoped compact per-value heat colours for multivariate data; distinct from percentage-based stripe charts.","plan/rounds/2026-08-14-11-rnd0080-plan-node-charts-heat-bars-and-the-slice-ceiling.md"
"Cytoscape Web v2","Radial-heat node charts","Planned","Scoped equal-angle sectors with value-driven colours; not a two-dimensional heat grid.","plan/rounds/2026-08-14-11-rnd0080-plan-node-charts-heat-bars-and-the-slice-ceiling.md"
"Cytoscape Web v2","Signed bar node charts","Planned","Scoped bars for signed values such as enrichment scores; current percentage slices skip negatives and cannot express this faithfully.","plan/rounds/2026-08-14-11-rnd0080-plan-node-charts-heat-bars-and-the-slice-ceiling.md"
"Cytoscape Web v2","Declarative chart colour scales","Planned","Scoped compiled per-value colour scale so consumers need not generate per-node colour arrays or function styles.","plan/rounds/2026-08-14-11-rnd0080-plan-node-charts-heat-bars-and-the-slice-ceiling.md"
"Cytoscape Web v2","More than 16 chart slices","Planned","Round 80 records a 26-slice desktop/web mismatch and proposes measuring a ceiling of 64; the increased limit is not implemented or a performance promise.","plan/rounds/2026-08-14-11-rnd0080-plan-node-charts-heat-bars-and-the-slice-ceiling.md"
"Cytoscape Web v2","Desktop/web portable visual-style subset","Proposed","Define a versioned subset for mappings, node/edge geometry, charts and labels with fixture-based visual checks and explicit unsupported-property diagnostics; avoid promising pixel parity for every desktop style.","docs/feature-direction.md"
"Cytoscape Web v2","CX2 translation in core","Excluded","Recorded boundary keeps CX2 import/export in an extension. Portable rendering semantics and adapter conformance can improve without embedding the entire exchange format in core.","plan/rounds/2026-08-20-02-rnd0102_0107-note-the-ecosystem-rounds.md"
"Cytoscape Web v2","Portable-style adapter conformance","Proposed","Use small desktop/web style fixtures to test adapter translation, degradation reports and export fidelity; keep provenance and unsupported semantics visible instead of silently dropping them.","docs/feature-direction.md"
"Cytoscape Web v2","Picked and exportable annotations","Planned","World-space annotations target reusable in-graph explanatory graphics, with picking and export integration; avoid separate app canvas overlays.","plan/rounds/2026-08-14-12-rnd0081-plan-the-annotations-layer.md"
"Cytoscape Web v2","Scalable attribute-table filtering","Planned","Column-view and filter affordances target coordinated table/network exploration; keep data transfer and selection costs measurable.","plan/rounds/2026-08-14-15-rnd0084-plan-attribute-table-and-filter-affordances.md"
"Application workflows","EnrichmentMap convex cluster regions","Planned","Native padded rounded convex hulls keyed by node data aim to replace bubble-region emulation. Round 82 v1 has no hull picking and is not an organic concave bubble-set renderer.","plan/rounds/2026-08-14-13-rnd0082-plan-cluster-hulls-and-collapse-aggregation-proxies.md"
"Application workflows","EnrichmentMap organic blob regions","Undecided","Round 82 records GPU SDF unions of member discs and intra-cluster capsules as a later candidate; measure overlap readability and membership cost. CPU concave bubble fields were rejected for performance.","plan/rounds/2026-08-14-13-rnd0082-plan-cluster-hulls-and-collapse-aggregation-proxies.md"
"Application workflows","Overlapping cluster membership","Proposed","Explore multiple memberships only if app fixtures require them; current planned scalar group keys partition nodes. Define selection, overlap and export semantics before adding geometry.","docs/feature-direction.md"
"Application workflows","Compound collapse with aggregate edges","Planned","Collapse compound parents using proxies and derived meta-edges with counts/requested sums; v1 collapse state is session-only. Data-key group collapse is a later helper, not the same delivered feature.","plan/rounds/2026-08-14-13-rnd0082-plan-cluster-hulls-and-collapse-aggregation-proxies.md"
"Application workflows","GeneMANIA large parallel-edge bundles","Planned","Fixture-led work targets many evidence channels between a pair of genes; existing parallel edges do not establish acceptable cost at GeneMANIA bundle widths.","plan/rounds/2026-08-20-06-rnd0105-plan-parallel-edges-at-genemania-width-and-a-genemania.md"
"Application workflows","Evidence-channel exploration","Proposed","Provide a GeneMANIA-style example combining channel filtering, selection and aggregate-edge summaries; validate identity/provenance preservation before considering more core API.","docs/feature-direction.md"
"Application workflows","Priority-aware label decluttering","Planned","Scoped collision and priority handling for dense networks; app-selected or important genes should remain understandable at scale.","plan/rounds/2026-08-20-05-rnd0104-plan-label-decluttering-priority-and-collision-at-scale.md"
"Application workflows","Transient neighbourhood emphasis","Planned","Scoped hover highlighting without stylesheet mutation can remove common app glue and repeated restyling costs.","plan/rounds/2026-08-20-03-rnd0102-plan-transient-emphasis-hover-highlight-without-touching-the.md"
"Application workflows","Biological fixture acceptance suite","Proposed","Version representative enrichment clusters, signed scores, multichannel gene edges and compound hierarchies; assess visual meaning, interaction and performance together, not just synthetic graph counts.","docs/feature-direction.md"
"Core capabilities","Semantic zoom","Proposed","Change the information shown with zoom: summaries at overview scale, individual nodes and edges at intermediate scales, and labels, charts and evidence details up close. Define declarative detail thresholds and measure transition cost and interaction latency.","docs/feature-direction.md"
"Core capabilities","Semantic zoom for compounds","Proposed","Sub-feature of semantic zoom: zoom in to reveal a compound's children, recursively for nested compounds; zoom out to return to parent summaries. Define edge aggregation, selection preservation and stable reveal/hide thresholds; coordinate with the planned collapse proxies.","docs/feature-direction.md"
"Core capabilities","Extension-to-core selection criteria","Proposed","Promote widely reusable graph/rendering primitives when shared implementation removes app glue and passes cost budgets. Keep domain formats and application UI in adapters/examples unless evidence justifies core scope.","docs/feature-direction.md"
"Core capabilities","Lasso and reusable spatial queries","Undecided","Open idea for irregular-region selection and app hit testing; establish coordinate, visibility and performance contracts before growing the gesture surface.","PLAN.md"
"Core capabilities","Undoable graph edits","Undecided","Snapshots versus inverse operations remain open; define batch transaction semantics and memory limits before promising a general undo stack.","PLAN.md"
"Core capabilities","Keyboard and assistive-technology navigation","Undecided","Keyboard focus, ARIA exposure and reduced-motion behaviour remain open ideas; preserve meaningful access when the graph has too many nodes for one DOM item per element.","PLAN.md"
"Core capabilities","International labels","Undecided","CJK coverage, then shaping/bidi and emoji, require explicit font and dependency choices; present label rendering does not establish complete language coverage.","PLAN.md"
"Core capabilities","Portable saved-session contract","Proposed","Build a versioned app-level round-trip fixture for graph, styles, positions and documented transient omissions on top of existing binary APIs; do not conflate serialization support with cross-version session compatibility.","docs/feature-direction.md"
"Algorithms","GPU algorithm performance follow-ups","Implemented","Round 72 (2026-09-18): sparse SpMV for pageRank/Katz, the coalesced affinity-propagation availability update, the unweighted closeness BFS on both executors, and laplacian: 'normalized' for the heat family all landed with their measurements; device-side bench rows were declined with the reason on the record.","plan/rounds/2026-08-14-03-rnd0072-landed-the-algorithm-perf-follow-ups-gathered.md"
"Algorithms","Worker-pool CPU executor","Implemented","Round 74: executor 'workers' — a pool of plain workers (Node worker_threads, browser Workers; at most eight, one less than the cores) runs the per-source-parallel families as contiguous source ranges over a cloned snapshot, results transferred back; the worker entry ships as source text inside every bundle. Bit-stable across runs and pool sizes; bit-identical to 'cpu' for closeness, heat and RWR, f64-tight for betweenness. 'auto' takes the pool where the GPU does not run, and first for the sparse closeness BFS. Families without a lane reject an explicit 'workers'.","src/algorithms/algo-workers.mts"
"Animation","Animation queue","Replaced","Sequence using animation promises; there is no queue.","MIGRATING.md"
"Animation","Channel animation and transitions","Implemented","Disjoint channels compose, conflicts replace; promise sequencing, pause/resume/reverse and style transitions.","src/README.md"
"API","ani.apply","Excluded","Applying without playback and scrubbing were excluded from the v4 animation handle. Use play(), pause(), resume() and reverse().","MIGRATING.md"
"API","ani.applying","Excluded","Applying without playback and scrubbing were excluded from the v4 animation handle. Use play(), pause(), resume() and reverse().","MIGRATING.md"
"API","ani.complete","Replaced","Use ani.promise() to observe completion. The v3 spelling is not public in v4.","MIGRATING.md"
"API","ani.completed","Replaced","Use ani.promise() to observe completion. The v3 spelling is not public in v4.","MIGRATING.md"
"API","ani.pause","Implemented","Round 24.3: freeze in place; the paused span leaves the timeline.","src/animation.mts:278"
"API","ani.paused","Implemented","Whether the animation is paused (round 24.3).","src/animation.mts:312"
"API","ani.play","Implemented","Enqueue and start.","src/animation.mts:248"
"API","ani.playing","Implemented","Whether the animation is running and not paused.","src/animation.mts:271"
"API","ani.progress","Partial","Read elapsed fraction; the v3 setter/scrubbing form is excluded.","src/animation.mts:305"
"API","ani.promise","Implemented","The completion promise.","src/animation.mts:264"
"API","ani.resume","Implemented","Resume a paused animation with the clock shifted (round 24.3).","src/animation.mts:287"
"API","ani.reverse","Implemented","Swap the tween's ends with elapsed remapped (round 24.3).","src/animation.mts:296"
"API","ani.run","Replaced","Use ani.play(). The v3 spelling is not public in v4.","MIGRATING.md"
"API","ani.running","Replaced","Use ani.playing(). The v3 spelling is not public in v4.","MIGRATING.md"
"API","ani.stop","Implemented","Stop in place, or at the targets with jumpToEnd.","src/animation.mts:257"
"API","ctx.boundingBox","Implemented","The scope's current bounding box, labels included.","src/layout/contract.mts:291"
"API","ctx.components","Implemented","The scope's connected components over nodeSlots() (round 114.4, factored out of packComponents for layouts that pack their own arrays): union-find over the scope's own edges — an edge with an endpoint outside the scope connects nothing here — indexed by position in nodeSlots().","src/layout/contract.mts:339"
"API","ctx.cy","Implemented","the core being laid out","src/layout/contract.mts:56"
"API","ctx.degreeOf","Implemented","O(1) degree off the CSR adjacency.","src/layout/contract.mts:251"
"API","ctx.edgeSlots","Implemented","The scope's edge slots.","src/layout/contract.mts:205"
"API","ctx.eles","Implemented","The layout scope (handles tier); the whole graph unless this run came from eles.layout().","src/layout/contract.mts:78"
"API","ctx.endpoints","Implemented","The live edge endpoint column (source,target node slots).","src/layout/contract.mts:241"
"API","ctx.finish","Implemented","Land computed positions the way a built-in does (round 114.2): the finisher when the run asks for anything it owns — animate, animateFilter, transform, spacingFactor — and otherwise the bulk slot write followed by fit / zoom / pan. One rule for flow, force and any extension that computes into an array.","src/layout/contract.mts:495"
"API","ctx.height","Implemented","The viewport height in CSS px.","src/layout/contract.mts:311"
"API","ctx.layoutPositions","Implemented","The discrete finisher: v3's layoutPositions plumbing over the scope — spacingFactor, transform, animate (with the fit-at-final-positions viewport animation), fit/zoom/pan, and the layoutready/layoutstop events. The wrapper's layoutstart covers the start (no double emit).","src/layout/contract.mts:463"
"API","ctx.nodeDimensions","Implemented","The layout boxes of the scope's nodes (round 114.1): slot-parallel node-local extents read off the size, border and label columns — the one reading every built-in spaces by. Labels are included when the run's nodeDimensionsIncludeLabels is true (115: v3's default again), making the box asymmetric when a label hangs below the body; take max( -y1, y2 ) for a symmetric half. Headless label dimensions are estimates (16.4), exact once a renderer has laid the glyphs.","src/layout/contract.mts:272"
"API","ctx.nodes","Implemented","The scope's node handles (lazy — see eles).","src/layout/contract.mts:90"
"API","ctx.nodeSlots","Implemented","The slots to lay out: the scope's nodes, pre-filtered to unlocked leaves (locked nodes hold their place; parents derive from their placed children — round 14.11). Scope order.","src/layout/contract.mts:144"
"API","ctx.options","Implemented","the resolved layout options (custom knobs included)","src/layout/contract.mts:58"
"API","ctx.packComponents","Implemented","Separate the scope's disconnected components (round 87.1): v3's separateComponents as a one-call, translation-only post-pass. Per-component bounding boxes at the current positions are shelf-packed largest-first with spacing between them, every member translated with its component, and the largest component's centre held fixed — the dominant structure keeps its place and the strays come to it.","src/layout/contract.mts:395"
"API","ctx.positions","Implemented","The live position column (x,y interleaved by slot) — read it, write through setPositions.","src/layout/contract.mts:231"
"API","ctx.refreshScope","Implemented","Drop the cached scope so the next eles / nodes read the graph as it now is (118.3): a whole-graph scope is materialized once per run, and a force layout's infinite run rebuilds its sim on an add or remove. A subset scope (eles.layout()) is the caller's collection and stays what it was.","src/layout/contract.mts:101"
"API","ctx.setPositions","Implemented","The bulk write: xy[i2], xy[i2+1] land on slots[i] — one dirty span, no handles (the round-5 slot path; under compounds it takes the per-slot sequential path so auto-bounds stay exact).","src/layout/contract.mts:326"
"API","ctx.width","Implemented","The viewport width in CSS px — what a layout sizing itself to the screen should use. Headless instances report the configured headless width, so a layout still works without a DOM.","src/layout/contract.mts:302"
"API","cy.$","Implemented","Alias of cy.filter. Filter the whole graph. Identical to elements( query ), kept for symmetry with eles.filter().","src/core.mts:1182"
"API","cy.$id","Implemented","Alias of cy.getElementById. Look up one element by id through the O(1) id index.","src/core.mts:1110"
"API","cy.add","Implemented","Add elements to the graph and return them as a collection.","src/core.mts:786"
"API","cy.addListener","Implemented","Alias of cy.on. Listen for events on the core.","src/core.mts:1418"
"API","cy.animate","Implemented","Animate the viewport (pan/zoom) over duration ms. Element animation is on the collection (eles.animate). Tweens are CPU-canonical; a data write / manual pan mid-animation is not prevented but will be overwritten by the next tick.","src/core.mts:1714"
"API","cy.animated","Implemented","True while the viewport is animating.","src/core.mts:1808"
"API","cy.animation","Implemented","Like animate, but returns a handle with play/stop/promise — the viewport counterpart of eles.animation.","src/core.mts:1743"
"API","cy.attr","Implemented","Alias of cy.data. Graph-level data — read all, read one key, or write. This is a plain object, not a columnar sidecar (which is ele.data()). It is carried by the wire format since round 39.2: serialize() writes it and options.elements applies it, while cy.add( buffer ) deliberately ignores it. Writing emits data.","src/core.mts:2188"
"API","cy.autolock","Implemented","Get or set whether every node is locked (immovable) regardless of its own locked flag — the graph-wide override.","src/core.mts:2292"
"API","cy.autolockNodes","Implemented","Alias of cy.autolock. Get or set whether every node is locked (immovable) regardless of its own locked flag — the graph-wide override.","src/core.mts:2292"
"API","cy.autoungrabify","Implemented","Get or set whether every node is ungrabbable regardless of its own grabbable flag. Unlike autolock(), this blocks only user dragging; programmatic position writes still apply.","src/core.mts:2310"
"API","cy.autoungrabifyNodes","Implemented","Alias of cy.autoungrabify. Get or set whether every node is ungrabbable regardless of its own grabbable flag. Unlike autolock(), this blocks only user dragging; programmatic position writes still apply.","src/core.mts:2310"
"API","cy.autounselectify","Implemented","Get or set whether every element is unselectable regardless of its own selectable flag. Programmatic select() still applies.","src/core.mts:2327"
"API","cy.batch","Implemented","Run fn inside a startBatch()/endBatch() pair. The batch closes even if fn throws, so this is the form to prefer.","src/core.mts:665"
"API","cy.batchData","Replaced","Use cy.batch() around element data() writes.","MIGRATING.md"
"API","cy.bind","Replaced","Use cy.on(); legacy listener aliases were removed.","MIGRATING.md"
"API","cy.boxSelectionEnabled","Implemented","Get or set whether the box-selection gesture is available.","src/core.mts:2470"
"API","cy.boxSelectionIncludesLabels","Implemented","Whether box selection considers label boxes as well as node bodies (round 16.5; v3's box-select-labels, reshaped as a core option — default off). Its sense follows boxSelectionMode: under 'contain' the label box must also be inside the band, under 'overlap' a label that merely crosses the band is enough.","src/core.mts:2418"
"API","cy.boxSelectionMode","Implemented","What the box-selection gesture counts as caught: 'contain' (default, v3's) selects only elements wholly inside the band; 'overlap' selects anything the band touches — a node whose box intersects it, an edge any part of whose drawn path crosses it. Round 39.1.","src/core.mts:2448"
"API","cy.byId","Implemented","Alias of cy.getElementById. Look up one element by id through the O(1) id index.","src/core.mts:1110"
"API","cy.center","Implemented","Pan so the given elements are centred, leaving the zoom alone. Bounds include labels, as in fit().","src/core.mts:1685"
"API","cy.centre","Implemented","Alias of cy.center. Pan so the given elements are centred, leaving the zoom alone. Bounds include labels, as in fit().","src/core.mts:1685"
"API","cy.clearQueue","Excluded","The animation queue was removed. Disjoint channels run concurrently; use promises to sequence animations.","MIGRATING.md"
"API","cy.collection","Partial","Returns an empty collection. The v3 collection(elements) constructor form is excluded; use queries or union() to build a collection.","src/core.mts:1090"
"API","cy.compact","Implemented","Slot-moving compaction, explicit form (round 19.5): move live elements down to a dense slot prefix so highWater, column capacity and pass-iteration widths shrink to the current graph instead of its peak. A monotone remap keeps draw order — compaction is a visual no-op — and held refs/handles/listeners repair through forwarding (19.3). The automatic dead-slot-ratio trigger covers the common shrink/churn profiles; this call is for deterministic timing (e.g. right after a bulk filter, before an animation). Throws mid-batch; defers with a warning while a GPU force layout runs.","src/core.mts:441"
"API","cy.container","Implemented","The DOM element this instance renders into, or null when headless or unmounted.","src/core.mts:3059"
"API","cy.createLayout","Implemented","Alias of cy.layout. Make a layout over the whole graph. The layout does not run until you call .run() on it.","src/core.mts:701"
"API","cy.data","Implemented","Graph-level data — read all, read one key, or write. This is a plain object, not a columnar sidecar (which is ele.data()). It is carried by the wire format since round 39.2: serialize() writes it and options.elements applies it, while cy.add( buffer ) deliberately ignores it. Writing emits data.","src/core.mts:2188"
"API","cy.delay","Replaced","Use an application timer and promise sequencing; viewport animation handles have no delay helper.","MIGRATING.md"
"API","cy.delayAnimation","Replaced","Use an application timer and promise sequencing; viewport animation handles have no delay helper.","MIGRATING.md"
"API","cy.desktopTapThreshold","Implemented","Css px a mouse/pen press may move and still count as a tap (v3 parity; default 4).","src/core.mts:2607"
"API","cy.destroy","Implemented","Tear the instance down: emit destroy, drop every listener, and release the pointer handler and the renderer (with its GPU resources). Idempotent. The store is left intact but the instance must not be used afterwards.","src/core.mts:3096"
"API","cy.destroyed","Implemented","Whether destroy() has run.","src/core.mts:3122"
"API","cy.edges","Implemented","The graph's edges, optionally filtered. Same query forms as elements(), restricted to the edge group — and, with no query, the same memo (34.2).","src/core.mts:1169"
"API","cy.elements","Implemented","All elements, optionally filtered — nodes (in insertion order) then edges.","src/core.mts:1141"
"API","cy.elementsInBox","Implemented","Live, visible elements contained in the model-coordinate box (corners in any order): the box-selection query, answered by one columnar scan. Nodes count when their bounding box lies fully inside; edges when both endpoint node centers do (v3's default 'contain' semantics, with straight-edge endpoints taken at the node centers).","src/core.mts:1298"
"API","cy.emit","Implemented","Emit an event on the core.","src/core.mts:1570"
"API","cy.endBatch","Implemented","Close a batch. At the outermost close the deferred work flushes as one bulk pass — filtered to elements still live, so adding and removing within the same batch costs nothing — and the automatic slot-compaction trigger gets its boundary check. A sheet change during the batch subsumes the per-element work: one applyAll() covers every live element.","src/core.mts:600"
"API","cy.extent","Implemented","The model-space rectangle currently visible, as { x1, y1, x2, y2, w, h } — the inverse of the pan/zoom transform applied to the viewport box.","src/core.mts:1843"
"API","cy.filter","Implemented","Filter the whole graph. Identical to elements( query ), kept for symmetry with eles.filter().","src/core.mts:1182"
"API","cy.fit","Implemented","Pan and zoom so the given elements fill the viewport.","src/core.mts:1665"
"API","cy.forceRender","Excluded","Removed in the public API review; rendering follows dirty state.","MIGRATING.md"
"API","cy.gc","Implemented","Alias of cy.compact. Slot-moving compaction, explicit form (round 19.5): move live elements down to a dense slot prefix so highWater, column capacity and pass-iteration widths shrink to the current graph instead of its peak. A monotone remap keeps draw order — compaction is a visual no-op — and held refs/handles/listeners repair through forwarding (19.3). The automatic dead-slot-ratio trigger covers the common shrink/churn profiles; this call is for deterministic timing (e.g. right after a bulk filter, before an animation). Throws mid-batch; defers with a warning while a GPU force layout runs.","src/core.mts:441"
"API","cy.getElementById","Implemented","Look up one element by id through the O(1) id index.","src/core.mts:1110"
"API","cy.hasCompoundNodes","Implemented","Whether any node currently has a parent. Worth checking because the compound tier changes paint evaluation and draw order; the renderer pays nothing for compounds while this is false.","src/core.mts:2733"
"API","cy.hasElementWithId","Implemented","Whether an element with this id exists, via the O(1) id index — cheaper than getElementById( id ).nonempty() because no handle is materialized.","src/core.mts:2747"
"API","cy.headless","Implemented","Whether this instance has no container and therefore no GPU — the Node-testable mode, in which every model API works and the render, pick and image-export paths are no-ops or reject.","src/core.mts:2707"
"API","cy.height","Implemented","The rendered height in CSS px. Headless instances report the configured headlessHeight (default 600).","src/core.mts:3082"
"API","cy.invalidateDimensions","Replaced","Use cy.resize(). The v3 spelling is not public in v4.","MIGRATING.md"
"API","cy.invalidateSize","Implemented","Alias of cy.resize. Re-measure the container and redraw (no-op when headless).","src/core.mts:2078"
"API","cy.isReady","Implemented","Whether the render pipeline is usable yet. Always true on a headless instance; on a rendered one this flips when cy.ready resolves.","src/core.mts:2694"
"API","cy.jpeg","Implemented","Alias of cy.jpg. Export as JPEG: as png, plus quality (0..1) and a white default bg (JPEG has no alpha channel).","src/core.mts:2112"
"API","cy.jpg","Implemented","Export as JPEG: as png, plus quality (0..1) and a white default bg (JPEG has no alpha channel).","src/core.mts:2112"
"API","cy.json","Partial","Export the current graph and stylesheet, including bypasses. The v3 import/setter form is excluded; use constructor elements or cy.add() for loading.","src/core.mts:2905"
"API","cy.layout","Implemented","Make a layout over the whole graph. The layout does not run until you call .run() on it.","src/core.mts:701"
"API","cy.listen","Replaced","Use cy.on(); legacy listener aliases were removed.","MIGRATING.md"
"API","cy.makeLayout","Implemented","Alias of cy.layout. Make a layout over the whole graph. The layout does not run until you call .run() on it.","src/core.mts:701"
"API","cy.maxZoom","Implemented","Get the maximum zoom, or set it. Setting re-clamps the current zoom.","src/core.mts:1888"
"API","cy.minZoom","Implemented","Get the minimum zoom, or set it. Setting re-clamps the current zoom.","src/core.mts:1870"
"API","cy.mount","Implemented","(Re)attach a renderer to a container. Re-mounting to a different container unmounts first; the fresh renderer re-uploads every column from the CPU-canonical model and rebuilds all glyph runs.","src/core.mts:2971"
"API","cy.multiClickDebounceTime","Implemented","The dbltap/onetap debounce window in ms (v3 parity; default 250).","src/core.mts:2549"
"API","cy.mutableElements","Replaced","Use cy.elements().","MIGRATING.md"
"API","cy.nodes","Implemented","The graph's nodes, optionally filtered. Same query forms as elements(), restricted to the node group — and, with no query, the same memo (34.2).","src/core.mts:1155"
"API","cy.noNotifications","Excluded","Notification suppression is absent; use cy.batch() for batched model changes.","MIGRATING.md"
"API","cy.notify","Excluded","Rendering is driven by dirty state; explicit renderer notifications are not public.","MIGRATING.md"
